Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,Training Loss,Initial_DataCollection_AverageReturn
4762.7544,0.0,4762.7544,4762.7544,1000.0,4713.6533,12.196533,4725.8496,4701.4565,1000.0,0,23.73485541343689,0.00065070717,4713.6533
4992.479,0.0,4992.479,4992.479,1000.0,4798.3257,0.0,4798.3257,4798.3257,1000.0,1000,51.46560883522034,0.00043019166,4713.6533
4899.68,0.0,4899.68,4899.68,1000.0,4840.8726,0.0,4840.8726,4840.8726,1000.0,2000,78.07712364196777,0.0005053343,4713.6533
4817.591,0.0,4817.591,4817.591,1000.0,4556.9834,0.0,4556.9834,4556.9834,1000.0,3000,104.83591675758362,0.0002975922,4713.6533
4438.694,0.0,4438.694,4438.694,1000.0,4694.787,0.0,4694.787,4694.787,1000.0,4000,131.58537030220032,0.00035940565,4713.6533
2857.7234,0.0,2857.7234,2857.7234,1000.0,4748.3315,0.0,4748.3315,4748.3315,1000.0,5000,158.5140402317047,0.00025926516,4713.6533
4630.865,0.0,4630.865,4630.865,1000.0,4862.225,0.0,4862.225,4862.225,1000.0,6000,186.23096561431885,0.0002984953,4713.6533
4566.6772,0.0,4566.6772,4566.6772,1000.0,4518.04,0.0,4518.04,4518.04,1000.0,7000,214.22912406921387,0.00025778258,4713.6533
4659.25,0.0,4659.25,4659.25,1000.0,4741.784,0.0,4741.784,4741.784,1000.0,8000,241.64093041419983,0.0001579597,4713.6533
4650.835,0.0,4650.835,4650.835,1000.0,4797.759,0.0,4797.759,4797.759,1000.0,9000,268.8075828552246,0.00013950483,4713.6533
