Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,Training Loss,Initial_DataCollection_AverageReturn
4041.1826,0.0,4041.1826,4041.1826,1000.0,4205.7783,83.03882,4288.817,4122.7393,1000.0,0,22.639038562774658,0.001764642,4205.7783
4019.361,0.0,4019.361,4019.361,1000.0,4311.9004,0.0,4311.9004,4311.9004,1000.0,1000,48.58532357215881,0.0011364318,4205.7783
3968.7493,0.0,3968.7493,3968.7493,1000.0,3996.752,0.0,3996.752,3996.752,1000.0,2000,79.2410774230957,0.0016131512,4205.7783
4107.8657,0.0,4107.8657,4107.8657,1000.0,4157.936,0.0,4157.936,4157.936,1000.0,3000,110.29373931884766,0.0005688494,4205.7783
4214.8496,0.0,4214.8496,4214.8496,1000.0,4170.4033,0.0,4170.4033,4170.4033,1000.0,4000,139.4711241722107,0.00055643613,4205.7783
4041.2744,0.0,4041.2744,4041.2744,1000.0,4171.7007,0.0,4171.7007,4171.7007,1000.0,5000,169.2752411365509,0.0003459226,4205.7783
4015.627,0.0,4015.627,4015.627,1000.0,4271.831,0.0,4271.831,4271.831,1000.0,6000,199.65113306045532,0.00033222456,4205.7783
4121.506,0.0,4121.506,4121.506,1000.0,4102.2944,0.0,4102.2944,4102.2944,1000.0,7000,227.62613344192505,0.00061742414,4205.7783
4210.1987,0.0,4210.1987,4210.1987,1000.0,3961.1313,0.0,3961.1313,3961.1313,1000.0,8000,255.70468044281006,0.00032946587,4205.7783
4182.566,0.0,4182.566,4182.566,1000.0,4182.268,0.0,4182.268,4182.268,1000.0,9000,283.44519448280334,0.00028197892,4205.7783
