Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,Training Loss,Initial_DataCollection_AverageReturn
1054.222,12.208563,1066.746,1034.1194,304.5,3772.6704,1.9483643,3774.6187,3770.722,1000.0,0,27.488476514816284,0.0029530802,3772.6704
2424.3687,380.89258,2805.2612,2043.4761,671.5,1055.5793,8.490913,1062.9783,1042.0697,304.5,1218,60.12680912017822,0.0029453035,3772.6704
3368.7012,0.0,3368.7012,3368.7012,1000.0,2836.1763,648.1998,3484.376,2187.9763,769.5,2757,92.58063507080078,0.0028893573,3772.6704
3774.5862,0.0,3774.5862,3774.5862,1000.0,3429.1484,0.0,3429.1484,3429.1484,1000.0,3757,124.12079548835754,0.002363945,3772.6704
3778.4585,0.0,3778.4585,3778.4585,1000.0,3769.4448,0.0,3769.4448,3769.4448,1000.0,4757,152.2840006351471,0.002460552,3772.6704
3777.926,0.0,3777.926,3777.926,1000.0,3766.3584,0.0,3766.3584,3766.3584,1000.0,5757,179.27567958831787,0.0012470364,3772.6704
3777.9746,0.0,3777.9746,3777.9746,1000.0,3781.2104,0.0,3781.2104,3781.2104,1000.0,6757,205.47799038887024,0.0019751464,3772.6704
3781.5947,0.0,3781.5947,3781.5947,1000.0,3784.2676,0.0,3784.2676,3784.2676,1000.0,7757,231.705260515213,0.0009776601,3772.6704
3779.4766,0.0,3779.4766,3779.4766,1000.0,3777.1372,0.0,3777.1372,3777.1372,1000.0,8757,258.1679744720459,0.00108549,3772.6704
3784.6208,0.0,3784.6208,3784.6208,1000.0,3777.686,0.0,3777.686,3777.686,1000.0,9757,284.9409384727478,0.001955476,3772.6704
