Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,Training Loss,Initial_DataCollection_AverageReturn
314.9953,72.91668,608.2762,262.94095,57.888888888888886,10344.518,20.981445,10365.499,10323.536,1000.0,0,27.55024528503418,0.05157881,10344.518
277.31152,21.367855,309.59387,225.53215,51.9,290.6228,18.112392,329.36993,267.65665,53.36842105263158,1014,57.93544912338257,0.06032234,10344.518
317.50287,28.213991,388.7114,260.07913,57.166666666666664,287.56497,35.49212,381.83755,213.65909,53.36842105263158,2028,90.01389455795288,0.06950197,10344.518
507.5117,95.44633,649.797,308.1592,81.46153846153847,362.8487,88.44167,580.91064,284.42352,62.6875,3031,121.52209687232971,0.07153063,10344.518
657.48706,224.59491,958.2561,328.09314,97.18181818181819,479.79242,132.50926,801.16376,334.2366,78.23076923076923,4048,151.79132175445557,0.07734736,10344.518
1238.1936,402.77713,2004.727,707.79297,166.0,549.78143,149.35513,856.7518,334.22363,85.33333333333333,5072,181.58010172843933,0.08037371,10344.518
1412.5226,472.98062,2393.2412,888.73444,175.0,793.87415,270.0728,1144.404,354.94388,112.6,6198,211.0040066242218,0.08500506,10344.518
1278.5116,327.20734,1706.9248,677.1697,161.0,1463.7946,530.7297,2413.524,764.78394,183.83333333333334,7301,240.5559482574463,0.08543086,10344.518
2366.04,1499.869,4876.912,928.94946,268.0,1190.421,340.17447,1779.5688,796.45087,151.28571428571428,8360,270.1165261268616,0.08574605,10344.518
4697.778,1403.1339,5944.4077,2737.4468,485.6666666666667,1732.0133,782.5367,3182.1514,951.19434,203.0,9375,302.39842557907104,0.08690548,10344.518
