Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,Training Loss,Initial_DataCollection_AverageReturn
5465.771,0.0,5465.771,5465.771,1000.0,5566.8457,9.237549,5576.0835,5557.6084,1000.0,0,23.92400336265564,0.006614288,5566.8457
5458.2876,0.0,5458.2876,5458.2876,1000.0,5473.936,0.0,5473.936,5473.936,1000.0,1000,50.23564696311951,0.0058906935,5566.8457
5543.958,0.0,5543.958,5543.958,1000.0,5494.2153,0.0,5494.2153,5494.2153,1000.0,2000,76.80324697494507,0.004169417,5566.8457
5484.5273,0.0,5484.5273,5484.5273,1000.0,3457.7766,2010.1779,5467.9546,1447.5988,670.5,3341,104.47066736221313,0.0042404654,5566.8457
5546.648,0.0,5546.648,5546.648,1000.0,2852.7615,2618.7334,5471.495,234.02797,552.5,4446,131.47455310821533,0.0032420026,5566.8457
5516.8594,0.0,5516.8594,5516.8594,1000.0,5563.7344,0.0,5563.7344,5563.7344,1000.0,5446,158.2728819847107,0.0045605376,5566.8457
5491.596,0.0,5491.596,5491.596,1000.0,5491.0845,0.0,5491.0845,5491.0845,1000.0,6446,185.01617646217346,0.00327812,5566.8457
5480.3867,0.0,5480.3867,5480.3867,1000.0,5511.8623,0.0,5511.8623,5511.8623,1000.0,7446,211.43081307411194,0.0021920432,5566.8457
5400.3345,0.0,5400.3345,5400.3345,1000.0,5599.637,0.0,5599.637,5599.637,1000.0,8446,237.93537783622742,0.0020951936,5566.8457
5495.3926,0.0,5495.3926,5495.3926,1000.0,5333.795,0.0,5333.795,5333.795,1000.0,9446,265.23199582099915,0.0045540207,5566.8457
